"";"t";"original_animal_id";"animal_year_id";"sex";"geometry"
"134";2007-04-06 06:00:00;3358;33580;"f";c(75683.3427911078, 6612051.58733257)
"135";2007-04-06 09:00:00;3358;33580;"f";c(75935.2997118497, 6612247.48183953)
"136";2007-04-06 12:00:00;3358;33580;"f";c(75876.2438235925, 6611410.09968575)
"137";2007-04-06 15:00:00;3358;33580;"f";c(75815.6031699719, 6611015.54459952)
"138";2007-04-06 18:00:00;3358;33580;"f";c(76568.7099957497, 6611069.34722743)
"139";2007-04-06 21:00:00;3358;33580;"f";c(76545.4209417515, 6611458.74675439)
"140";2007-04-07;3358;33580;"f";c(76548.1995448148, 6611440.78871695)
"141";2007-04-07 03:00:00;3358;33580;"f";c(76031.3990592884, 6611722.65578089)
"142";2007-04-07 06:00:00;3358;33580;"f";c(75930.4991529377, 6611500.48680992)
"143";2007-04-07 09:00:00;3358;33580;"f";c(75211.2856791693, 6610453.67194056)
"144";2007-04-07 12:00:00;3358;33580;"f";c(74555.6489817589, 6610197.41690761)
"145";2007-04-07 15:00:00;3358;33580;"f";c(74191.8542914195, 6610202.70979993)
"146";2007-04-07 18:00:00;3358;33580;"f";c(74037.4878724458, 6610057.66012398)
"147";2007-04-07 21:00:00;3358;33580;"f";c(73995.7222052161, 6609877.28419542)
"148";2007-04-08;3358;33580;"f";c(73629.165476827, 6609854.78026152)
"149";2007-04-08 03:00:00;3358;33580;"f";c(73315.9818604516, 6609692.26819579)
"150";2007-04-08 06:00:00;3358;33580;"f";c(73675.7529949339, 6610245.1256135)
"151";2007-04-08 09:00:00;3358;33580;"f";c(74834.7062726762, 6609549.24487539)
"152";2007-04-08 12:00:00;3358;33580;"f";c(75138.9341409127, 6609055.88678341)
"153";2007-04-08 15:00:00;3358;33580;"f";c(75055.9461653846, 6608809.67151365)
"154";2007-04-08 18:00:00;3358;33580;"f";c(74506.3362009502, 6608978.53878271)
"155";2007-04-08 21:00:00;3358;33580;"f";c(74570.0537004019, 6609301.14133088)
"156";2007-04-09;3358;33580;"f";c(74553.5550994105, 6609729.19983693)
"157";2007-04-09 03:00:00;3358;33580;"f";c(74537.2980000477, 6609717.37370441)
"158";2007-04-09 06:00:00;3358;33580;"f";c(73918.5559326942, 6609795.42570922)
"159";2007-04-09 09:00:00;3358;33580;"f";c(73556.3067601017, 6609990.12367975)
"160";2007-04-09 12:00:00;3358;33580;"f";c(73643.4120976675, 6610164.50144491)
"161";2007-04-09 15:00:00;3358;33580;"f";c(74291.1285094918, 6610570.69567737)
"162";2007-04-09 18:00:00;3358;33580;"f";c(74814.3808323455, 6610752.74753381)
"163";2007-04-09 21:00:00;3358;33580;"f";c(74725.253159826, 6610616.44465371)
"164";2007-04-10;3358;33580;"f";c(73725.6458242712, 6610398.48396419)
"165";2007-04-10 03:00:00;3358;33580;"f";c(73489.9109721426, 6610129.93430605)
"166";2007-04-10 06:00:00;3358;33580;"f";c(73018.2192939002, 6609711.01518025)
"167";2007-04-10 09:00:00;3358;33580;"f";c(72697.252517199, 6609518.30782253)
"168";2007-04-10 12:00:00;3358;33580;"f";c(72663.9358292606, 6609357.67594164)
"169";2007-04-10 15:00:00;3358;33580;"f";c(72668.6014931615, 6609346.39402332)
"170";2007-04-10 18:00:00;3358;33580;"f";c(73417.6408431759, 6608674.9833283)
"171";2007-04-10 21:00:00;3358;33580;"f";c(72768.1375616463, 6608098.19808377)
"172";2007-04-11;3358;33580;"f";c(72763.6102474298, 6608144.94761849)
"173";2007-04-11 03:00:00;3358;33580;"f";c(72743.4817372921, 6608185.54181182)
"174";2007-04-11 06:00:00;3358;33580;"f";c(72570.7027264681, 6606472.72853409)
"175";2007-04-11 09:00:00;3358;33580;"f";c(73331.8672628184, 6606559.08616339)
"176";2007-04-11 12:00:00;3358;33580;"f";c(73230.423211287, 6607206.94012618)
"177";2007-04-11 15:00:00;3358;33580;"f";c(73549.4906837784, 6607718.00707331)
"178";2007-04-11 18:00:00;3358;33580;"f";c(72639.6043284999, 6607588.28166257)
"179";2007-04-11 21:00:00;3358;33580;"f";c(72098.7308784628, 6606869.18510198)
"180";2007-04-12;3358;33580;"f";c(72083.4269233184, 6606861.77400591)
"181";2007-04-12 03:00:00;3358;33580;"f";c(72045.2411584927, 6606612.60893344)
"182";2007-04-12 06:00:00;3358;33580;"f";c(71928.8930873868, 6606385.45864119)
"183";2007-04-12 09:00:00;3358;33580;"f";c(71670.0576145088, 6605814.90699179)
"184";2007-04-12 12:00:00;3358;33580;"f";c(71228.8072356229, 6605671.23107582)
